Transcription-Units	Accession-1
TU00123	b4035 // b4036 // b4037
TU0-13380	b4535
TU0-45282	b4725 // b2570 // b2571 // b2572 // b2573
TU0-13870	b3119
TU00033	b3773
TU0-14092	b3950 // b3949
TU401	b3423 // b3424 // b3425
TU0-8838	b1936
TU0-13214	b1322 // b1321
TU00513	b1975
TU0-8704	b1533
TU0-14458	b1218
TU0-13697	b2641
TU00504	b3980 // b3976 // b3977 // b3978 // b3979
TU0-13606	b4545
TU0-1201	b1761
TU00067	b1260 // b1261 // b1262 // b1263 // b1264 // b1265
TU00060	b1062
TU00456	b4063
TU0-14699	b0842
TU0-13065	b0836
TU0-13320	b1551
TU0-14258	b2709
TU0-13175	b1192
TU0-13835	b3028
TU0-14739	b1335
TU0-12788	b0006
TU0-4146	b0181 // b0180 // b0179 // b0178
TU0-36403	b2217
TU0-13885	b3187
TU00244	b2078 // b2079
TU0-13806	b2949 // b2948
TU0-4742	b0957
TU0-36417	b3428 // b3429
TU00385	b2296
TU0-42622	b1916
TU261	b0924 // b0923 // b0922 // b0921
TU0-8245	b1862
TU00090	b3774
TU0-41842	b1722
TU0-45157	b4665
TU0-45156	b3936
TU00213	b4239 // b4240
TU0-8649	b2136
TU0-13376	b1705
TU0-14056	b3850 // b3849 // b3848 // b3847
TU0-13167	b1172 // b1171
TU00032	b3670 // b3671 // b3672
TU0-14210	b4356
TU0-14325	b0952
TU0-45197	b2535
TU0-14654	b2779 // b2780
TU00119	b3357
TU00231	b3255 // b3256
TU0-8640	b1726
TU00063	b3905 // b3906
TU00501	b2967
TU0-12876	b0286 // b0285 // b0284 // b0283
TU0-8582	b3448
TU00114	b2224 // b2221 // b2222 // b2223
TU0-14445	b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083
TU0-14694	b3724 // b3725
TU00111	b3359
TU00083	b3461
TU0-13789	b2899
TU3	b1260 // b1261 // b1262
TU0-8536	b0607
TU0-14128	b4082 // b4081 // b4080
TU0-13472	b1978
TU0-14493	b2928 // b2929
TU00204	b2937 // b2938
TU0-13593	b2330 // b2329 // b2328 // b2327 // b2326 // b2325
TU0-8872	b0385
TU0-42465	b1916
TU0-14363	b0552
TU0-42479	b3740
TU0-42694	b1693
TU00058	b2499 // b2500
TU00014	b2155
